                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8723,                 7.9489,                 2.7732,                      0,                      0,                      0,                      0,                 4.8528,                 10.654,                 2.6724,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                 2.1258,                 4.4718,                 1.6311,                0.24607,                   0.25,                0.22481,                0.12712,                 1.7572,                 57.111,                 1.0565,             0.00018347,             0.00018347,             0.00018347
                      3,                 1.3491,                 2.2478,                 1.0917,                0.33333,                0.08333,                0.15231,                0.07732,                 1.5437,                 98.286,                0.98219,             0.00027873,             0.00027873,             0.00027873
                      4,                 1.2969,                 1.5713,                  1.092,                0.34967,                0.63889,                0.36756,                0.27467,                 1.3807,                 57.313,                0.91626,             0.00037151,             0.00037151,             0.00037151
                      5,                 1.3779,                 1.5491,                 1.0931,                0.07906,                0.69444,                0.06493,                0.03946,                  1.193,                   29.6,                0.89206,             0.00046181,             0.00046181,             0.00046181
                      6,                 1.3952,                 1.0622,                 1.1295,                0.07427,                0.55556,                0.08395,                 0.0573,                 1.2628,                 67.197,                  0.948,             0.00054964,             0.00054964,             0.00054964
                      7,                 1.2773,                 1.0275,                 1.1213,                0.49025,                    0.5,                0.48356,                0.31254,                 1.4818,                 538.46,                 1.0286,             0.00063499,             0.00063499,             0.00063499
                      8,                 1.3924,                 1.0423,                 1.0909,                0.55567,                0.67483,                0.56491,                0.34931,                 1.5519,                    inf,                 1.1432,             0.00071787,             0.00071787,             0.00071787
                      9,                 1.3496,                 1.2143,                 1.0864,                0.86646,                0.64805,                0.72415,                0.45332,                 1.5424,                 1.3011,                0.99975,             0.00079827,             0.00079827,             0.00079827
                     10,                 1.4028,                 1.0416,                 1.0628,                 0.4949,                0.72222,                0.45111,                0.28925,                 1.2623,                 6.1383,                0.95058,             0.00087619,             0.00087619,             0.00087619
                     11,                 1.2912,                0.97077,                 1.0569,                0.55926,                0.11111,                 0.0931,                0.03682,                 3.4111,                 4.5279,                  3.228,             0.00095164,             0.00095164,             0.00095164
                     12,                 1.4002,                0.99031,                 1.0886,                0.40099,                0.08333,                0.06123,                0.01894,                 3.3949,                 3.4726,                 3.0644,              0.0010246,              0.0010246,              0.0010246
                     13,                 1.3261,                 1.1868,                  1.109,                0.74547,                   0.75,                0.78263,                0.45238,                 1.5783,                 1.3146,                 1.1805,              0.0010951,              0.0010951,              0.0010951
                     14,                 1.3878,                 1.0346,                 1.1163,                0.74547,                   0.75,                0.78263,                0.45238,                    nan,                    nan,                    nan,              0.0011631,              0.0011631,              0.0011631
                     15,                 1.3289,                 1.0207,                 1.1082,                0.74547,                   0.75,                0.78263,                0.45238,                    nan,                    nan,                    nan,              0.0011814,              0.0011814,              0.0011814
                     16,                 1.2455,                0.99665,                 1.0693,                0.74547,                   0.75,                0.78263,                0.45238,                    nan,                    nan,                    nan,              0.0011814,              0.0011814,              0.0011814
                     17,                 1.2556,                0.88513,                 1.0928,                0.74547,                   0.75,                0.78263,                0.45238,                      0,                    nan,                      0,              0.0011637,              0.0011637,              0.0011637
                     18,                 1.2373,                0.86614,                 1.0586,                0.74547,                   0.75,                0.78263,                0.45238,                      0,                      0,                      0,              0.0011461,              0.0011461,              0.0011461
                     19,                 1.1693,                0.73487,                 1.0232,                0.74547,                   0.75,                0.78263,                0.45238,                      0,                  6.875,                      0,              0.0011284,              0.0011284,              0.0011284
                     20,                 1.2307,                0.78418,                  1.075,                0.74547,                   0.75,                0.78263,                0.45238,                      0,                0.09058,                      0,              0.0011107,              0.0011107,              0.0011107
